id,title,body,department,sentiment
1,Colazione da dieci e lode,"La colazione era ricchissima, cornetti caldi appena sfornati e cappuccino fatto come si deve.",F&B,positive
2,Cena memorabile,"Menu curato e vini del territorio ben abbinati, il cameriere ci ha consigliato piatti perfetti.",F&B,positive
3,Ristorante sopra le aspettative,"Primi piatti della tradizione fatti a mano, porzioni giuste e sapori genuini.",F&B,positive
4,Buffet ottimo,"Grande varietà tra dolce e salato, tutto fresco e rinnovato più volte durante il servizio.",F&B,positive
5,Chef bravissimo,"Lo chef è uscito in sala a spiegare i piatti, cortesia rara di questi tempi.",F&B,positive
6,Cucina di livello,"Tagliatelle al tartufo indimenticabili, prezzi onesti per la qualità proposta.",F&B,positive
7,Colazione dolce e salata,"Ottima scelta tra yogurt frutta uova e salumi locali, caffè espresso davvero buono.",F&B,positive
8,Aperitivo in terrazza,"Stuzzichini freschi e cocktail preparati bene, ambiente rilassante al tramonto.",F&B,positive
9,Ristorante consigliato,"Abbiamo cenato tre sere e ogni piatto è stato diverso e curato, complimenti alla brigata.",F&B,positive
10,Dessert spettacolari,"Il tiramisù della casa è tra i migliori mai assaggiati, anche il semifreddo era squisito.",F&B,positive
11,Pizzeria interna sorprendente,"Impasto ben lievitato e ingredienti di qualità, non ce lo aspettavamo in un hotel.",F&B,positive
12,Cameriere attento,"Ragazzo molto gentile ci ha ricordato l allergia al glutine senza chiedere, grande professionalità.",F&B,positive
13,Servizio rapido,Ordine preso subito e piatti arrivati caldi nel giro di pochi minuti.,F&B,positive
14,Vini eccellenti,"Carta dei vini ragionata, sommelier preparato e disponibile a consigliare.",F&B,positive
15,Cucina genuina,"Si sente che usano prodotti locali, le verdure erano saporitissime.",F&B,positive
16,Pranzo in piscina leggero,"Insalatone fresche e piadine fatte al momento, perfette per la pausa pranzo.",F&B,positive
17,Ristorante elegante e accogliente,"Tavoli ben distanziati, luce soffusa e portate presentate con cura.",F&B,positive
18,Colazione abbondante e curata,"Anche per chi è celiaco c erano ottime alternative, ci siamo sentiti coccolati.",F&B,positive
19,Pesce freschissimo,"Il branzino in crosta di sale era cotto alla perfezione, sapori puliti e piatti ben bilanciati.",F&B,positive
20,Menu degustazione riuscito,"Sette portate pensate bene, nessun piatto debole, rapporto qualità prezzo azzeccato.",F&B,positive
21,Brunch della domenica top,"Moltissime proposte calde e fredde, frutta tagliata al momento, spremute vere.",F&B,positive
22,Cucina vegana sorprendente,"Non è facile trovare alternative veg così buone in un hotel, menzione speciale al risotto.",F&B,positive
23,Pasticceria interna deliziosa,"Cornetti vuoti crema e cioccolato tutti fragranti, non è il solito forno industriale.",F&B,positive
24,Cena romantica perfetta,"Tavolo con vista sul giardino, servizio discreto e piatti ricercati, candele incluse.",F&B,positive
25,Staff di sala preparato,"Conoscono il menu a memoria e spiegano ogni ingrediente, ci siamo trovati benissimo.",F&B,positive
26,Primi fatti in casa,"La pasta fresca si sente a distanza, ragù cotto come si deve, complimenti alla cucina.",F&B,positive
27,Piatti ben presentati,"Impiattamenti da ristorante gourmet, anche l occhio vuole la sua parte e qui non delude.",F&B,positive
28,Buffet sempre rifornito,"Non abbiamo mai trovato vassoi vuoti, turnover perfetto anche nelle ore di punta.",F&B,positive
29,Caffetteria d autore,Espresso ristretto come piace a noi e dolci della casa che cambiano ogni giorno.,F&B,positive
30,Ristorante gourmet a prezzi umani,"Stelle Michelin mancate forse per un soffio, rapporto qualità prezzo ottimo.",F&B,positive
